301,0
300,120
313,240
335,360
221,480
271,600
443,720
468,840
85,960
377,1080
166,1200
293,1320
343,1440
416,1560
166,1680
333,1800
87,1920
360,2040
167,2160
162,2280
309,2400
250,2520
228,2640
346,2760
340,2880
183,3000
350,3120
258,3240
198,3360
300,3480
308,3600
177,3720
71,3840
424,3960
344,4080
459,4200
277,4320
195,4440
214,4560
122,4680
284,4800
148,4920
87,5040
234,5160
431,5280
338,5400
176,5520
224,5640
490,5760
129,5880
439,6000
194,6120
161,6240
192,6360
290,6480
109,6600
350,6720
448,6840
280,6960
415,7080
64,7200
273,7320
311,7440
228,7560
331,7680
302,7800
376,7920
507,8040
486,8160
425,8280
273,8400
189,8520
369,8640
436,8760
369,8880
200,9000
334,9120
240,9240
361,9360
431,9480
347,9600
260,9720
327,9840
306,9960
278,10080
343,10200
485,10320
522,10440
277,10560
118,10680
335,10800
236,10920
386,11040
230,11160
466,11280
266,11400
195,11520
339,11640
81,11760
255,11888
